19:23:56.464;"VOLT";4.025730
19:23:57.474;"VOLT";4.025707
19:23:58.482;"VOLT";4.025726
19:23:59.507;"VOLT";4.025714
19:24:00.519;"VOLT";4.025741
19:24:01.538;"VOLT";3.859370
19:24:02.544;"VOLT";3.462996
19:24:03.557;"VOLT";3.263693
19:24:04.572;"VOLT";3.180919
19:24:05.580;"VOLT";3.346970
19:24:06.604;"VOLT";3.746632
19:24:07.617;"VOLT";3.746918
19:24:08.623;"VOLT";3.747057
19:24:09.630;"VOLT";3.747169
19:24:10.637;"VOLT";3.747221
19:24:11.654;"VOLT";3.755090
19:24:12.667;"VOLT";3.817295
19:24:13.698;"VOLT";3.875247
19:24:14.716;"VOLT";4.014975
19:24:15.724;"VOLT";4.054578
19:24:16.730;"VOLT";4.054517
19:24:17.740;"VOLT";4.054456
19:24:18.752;"VOLT";4.054427
19:24:19.766;"VOLT";4.054423
19:24:20.789;"VOLT";4.054430
19:24:21.798;"VOLT";4.054427
19:24:22.806;"VOLT";4.054435
19:24:23.814;"VOLT";4.054446
19:24:24.819;"VOLT";4.054410
19:24:25.835;"VOLT";4.054389
19:24:26.844;"VOLT";4.054392
19:24:27.861;"VOLT";4.054384
19:24:28.867;"VOLT";4.054362
19:24:29.883;"VOLT";4.054393
19:24:30.904;"VOLT";4.054366
